From,To,Star,Star-Lord,YearNumber
0.0,13.333333333333334,Ashwini,Ke,7
13.333333333333334,26.666666666666668,Bharani,Ve,20
26.666666666666668,40.0,Krittika,Su,6
40.0,53.33333333333333,Rohini,Mo,10
53.33333333333333,66.66666666666667,Mrigashira,Ma,7
66.66666666666667,80.0,Ardra,Ra,18
80.0,93.33333333333333,Punarvasu,Ju,16
93.33333333333333,106.66666666666667,Pushya,Sa,19
106.66666666666667,120.0,Ashlesha,Me,17
120.0,133.33333333333334,Magha,Ke,7
133.33333333333334,146.66666666666666,Purva Phalguni,Ve,20
146.66666666666666,160.0,Uttara Phalguni,Su,6
160.0,173.33333333333334,Hasta,Mo,10
173.33333333333334,186.66666666666666,Chitra,Ma,7
186.66666666666666,200.0,Swati,Ra,18
200.0,213.33333333333334,Vishakha,Ju,16
213.33333333333334,226.66666666666666,Anuradha,Sa,19
226.66666666666666,240.0,Jyeshtha,Me,17
240.0,253.33333333333334,Mula,Ke,7
253.33333333333334,266.6666666666667,Purva Ashadha,Ve,20
266.6666666666667,280.0,Uttara Ashadha,Su,6
280.0,293.3333333333333,Shravana,Mo,10
293.3333333333333,306.6666666666667,Dhanishta,Ma,7
306.6666666666667,320.0,Shatabhisha,Ra,18
320.0,333.3333333333333,Purva Bhadrapada,Ju,16
333.3333333333333,346.6666666666667,Uttara Bhadrapada,Sa,19
346.6666666666667,0.0,Revati,Me,17
